0,1,0,3,2,0.000000,,0.000000,0.753302
0,1,1,3,0,0.000000,,0.000000,0.435127
0,0,2,1,0,0.000000,0.873071,,
0,0,3,2,3,0.000000,0.097843,,
1,1,0,3,2,2.500000,,8.500000,0.753302
1,1,1,4,1,2.500000,,8.500000,0.435127
1,0,2,0,0,2.500000,0.873071,,
1,0,3,1,3,2.500000,0.097843,,
2,1,0,2,2,5.000000,,17.000000,0.753302
2,1,1,4,2,5.000000,,17.000000,0.435127
2,0,2,0,-1,5.000000,0.873071,,
2,0,3,2,2,5.000000,0.097843,,
3,1,0,2,2,7.500000,,25.500000,0.753302
3,1,1,3,3,7.500000,,25.500000,0.435127
3,0,2,0,0,7.500000,0.873071,,
3,0,3,2,1,7.500000,0.097843,,
4,1,0,2,2,10.000000,,34.000000,0.753302
4,1,1,4,3,10.000000,,34.000000,0.435127
4,0,2,0,1,10.000000,0.873071,,
4,0,3,3,2,10.000000,0.097843,,
